"Row ID","Order Priority","Discount","Unit Price","Shipping Cost","Customer ID","Customer Name","Ship Mode","Customer Segment","Product Category","Product Sub-Category","Product Container","Product Name","Product Base Margin","Country","Region","State or Province","City","Postal Code","Order Date","Ship Date","Order ID","Profit","Quantity ordered new","Sales","by"
20847,"High",0.01,2.84,0.93,3,"Bonnie Potter","Express Air","Corporate","Office Supplies","Pens & Art Supplies","Wrap Bag","SANFORD Liquid Accent™ Tank-Style Highlighters",0.54,"United States","West","Washington","Anacortes",98221,2015-01-07,2015-01-08,88522,4.56,4,13.01,"Order.ID"
20228,"Not Specified",0.02,500.98,26,5,"Ronnie Proctor","Delivery Truck","Home Office","Furniture","Chairs & Chairmats","Jumbo Drum","Global Troy™ Executive Leather Low-Back Tilter",0.6,"United States","West","California","San Gabriel",91776,2015-06-13,2015-06-15,90193,4390.3665,12,6362.85,"Order.ID"
21776,"Critical",0.06,9.48,7.29,11,"Marcus Dunlap","Regular Air","Home Office","Furniture","Office Furnishings","Small Pack","DAX Two-Tone Rosewood/Black Document Frame, Desktop, 5 x 7",0.45,"United States","East","New Jersey","Roselle",7203,2015-02-15,2015-02-17,90192,-53.8096,22,211.15,"Order.ID"
24844,"Medium",0.09,78.69,19.99,14,"Gwendolyn F Tyson","Regular Air","Small Business","Furniture","Office Furnishings","Small Box","Howard Miller 12-3/4 Diameter Accuwave DS ™ Wall Clock",0.43,"United States","Central","Minnesota","Prior Lake",55372,2015-05-12,2015-05-14,86838,803.4705,16,1164.45,"Order.ID"
24846,"Medium",0.08,3.28,2.31,14,"Gwendolyn F Tyson","Regular Air","Small Business","Office Supplies","Pens & Art Supplies","Wrap Bag","Newell 321",0.56,"United States","Central","Minnesota","Prior Lake",55372,2015-05-12,2015-05-13,86838,-24.03,7,22.23,"Order.ID"
24848,"Medium",0.05,3.58,1.63,14,"Gwendolyn F Tyson","Regular Air","Small Business","Office Supplies","Rubber Bands","Wrap Bag","OIC Colored Binder Clips, Assorted Sizes",0.36,"United States","Central","Minnesota","Prior Lake",55372,2015-05-12,2015-05-13,86838,-0.71,4,14.26,"Order.ID"
18181,"Critical",0,4.42,4.99,15,"Timothy Reese","Regular Air","Small Business","Office Supplies","Envelopes","Small Box","Grip Seal Envelopes",0.38,"United States","East","New York","Smithtown",11787,2015-04-08,2015-04-09,86837,-59.82,7,33.47,"Order.ID"
20925,"Medium",0.01,35.94,6.66,15,"Timothy Reese","Regular Air","Small Business","Office Supplies","Envelopes","Small Box","Tyvek ® Top-Opening Peel & Seel ® Envelopes, Gray",0.4,"United States","East","New York","Smithtown",11787,2015-05-28,2015-05-28,86839,261.8757,10,379.53,"Order.ID"
26267,"High",0.04,2.98,1.58,16,"Sarah Ramsey","Regular Air","Small Business","Office Supplies","Rubber Bands","Wrap Bag","Staples Gold Paper Clips",0.39,"United States","East","New York","Syracuse",13210,2015-02-12,2015-02-15,86836,2.63,6,18.8,"Order.ID"
26268,"High",0.05,115.99,2.5,16,"Sarah Ramsey","Regular Air","Small Business","Technology","Telephones and Communication","Small Box","StarTAC 7797",0.55,"United States","East","New York","Syracuse",13210,2015-02-12,2015-02-14,86836,652.7331,10,945.99,"Order.ID"
